GO_0097458	GO_0044292
GO_0097458	GO_0044293
GO_0097458	GO_0044294
GO_0097458	GO_0008021
GO_0097458	GO_0032591
GO_0097458	GO_1902636
GO_0097458	GO_0044326
GO_0097458	GO_0044327
GO_0097458	GO_1990812
GO_0097458	GO_0032590
GO_0097458	GO_0098788
GO_0097458	GO_0097457
GO_0097458	GO_0098945
GO_0097458	GO_0098946
GO_0097458	GO_0070852
GO_0097458	GO_0060091
GO_0097458	GO_0042734
GO_0097458	GO_0061177
GO_0097458	GO_0032420
GO_0097458	GO_0032421
GO_0097458	GO_0036062
GO_0097458	GO_0098793
GO_0097458	GO_0097462
GO_0097458	GO_0097463
GO_0097458	GO_0097464
GO_0097458	GO_0097465
GO_0097458	GO_0098830
GO_0097458	GO_0099007
GO_0097458	GO_0097467
GO_0097458	GO_0098952
GO_0097458	GO_0098831
GO_0097458	GO_0099523
GO_0097458	GO_0098954
GO_0097458	GO_0098833
GO_0097458	GO_0098834
GO_0097458	GO_0098955
GO_0097458	GO_0098835
GO_0097458	GO_0032809
GO_0097458	GO_0043025
GO_0097458	GO_0098836
GO_0097458	GO_1904115
GO_0097458	GO_0044226
GO_0097458	GO_0099012
GO_0097458	GO_1902737
GO_0097458	GO_0098563
GO_0097458	GO_0099013
GO_0097458	GO_1990038
GO_0097458	GO_1990435
GO_0097458	GO_1990434
GO_0097458	GO_0032839
GO_0097458	GO_1990476
GO_0097458	GO_1990475
GO_0097458	GO_1990474
GO_0097458	GO_0044300
GO_0097458	GO_0044301
GO_0097458	GO_0044302
GO_0097458	GO_0032437
GO_0097458	GO_0042757
GO_0097458	GO_0060342
GO_0097458	GO_1990906
GO_0097458	GO_0043203
GO_0097458	GO_0043204
GO_0097458	GO_1990503
GO_0097458	GO_1990623
GO_0097458	GO_0099027
GO_0097458	GO_0098850
GO_0097458	GO_0099026
GO_0097458	GO_0099029
GO_0097458	GO_0071598
GO_0097458	GO_0032426
GO_0097458	GO_0061176
GO_0097458	GO_0030129
GO_0097458	GO_0061175
GO_0097458	GO_0061174
GO_0097458	GO_0036477
GO_0097458	GO_0014069
GO_0097458	GO_0042622
GO_0097458	GO_0001917
GO_0097458	GO_1901588
GO_0097458	GO_1901589
GO_0097458	GO_0043679
GO_0097458	GO_0098980
GO_0097458	GO_0099036
GO_0097458	GO_0098860
GO_0097458	GO_0099035
GO_0097458	GO_0099037
GO_0097458	GO_0043195
GO_0097458	GO_0043196
GO_0097458	GO_0097413
GO_0097458	GO_0043197
GO_0097458	GO_0098986
GO_0097458	GO_1990013
GO_0097458	GO_0097414
GO_0097458	GO_0043198
GO_0097458	GO_0097415
GO_0097458	GO_0001750
GO_0097458	GO_0097416
GO_0097458	GO_0097418
GO_0097458	GO_0060171
GO_0097458	GO_0060053
GO_0097458	GO_0044280
GO_0097458	GO_0043194
GO_0097458	GO_0030285
GO_0097458	GO_0032584
GO_0097458	GO_0097381
GO_0097458	GO_1990769
GO_0097458	GO_0044316
GO_0097458	GO_0044317
GO_0097458	GO_0033270
GO_0097458	GO_0098992
GO_0097458	GO_0098993
